,date,ticker,field,value
295,2016-08-29,SPX Index,PX_LAST,2180.38
296,2016-08-30,SPX Index,PX_LAST,2176.12
297,2016-08-31,SPX Index,PX_LAST,2170.95
298,2016-09-01,SPX Index,PX_LAST,2170.86
299,2016-09-02,SPX Index,PX_LAST,2179.98
300,2016-09-06,SPX Index,PX_LAST,2186.48
301,2016-09-07,SPX Index,PX_LAST,2186.16
302,2016-09-08,SPX Index,PX_LAST,2181.3
303,2016-09-09,SPX Index,PX_LAST,2127.81
304,2016-09-12,SPX Index,PX_LAST,2159.04
305,2016-09-13,SPX Index,PX_LAST,2127.02
306,2016-09-14,SPX Index,PX_LAST,2125.77
307,2016-09-15,SPX Index,PX_LAST,2147.26
308,2016-09-16,SPX Index,PX_LAST,2139.16
309,2016-09-19,SPX Index,PX_LAST,2139.12
310,2016-09-20,SPX Index,PX_LAST,2139.76
311,2016-09-21,SPX Index,PX_LAST,2163.12
312,2016-09-22,SPX Index,PX_LAST,2177.18
313,2016-09-23,SPX Index,PX_LAST,2164.69
314,2016-09-26,SPX Index,PX_LAST,2146.1
315,2016-09-27,SPX Index,PX_LAST,2159.93
316,2016-09-28,SPX Index,PX_LAST,2171.37
317,2016-09-29,SPX Index,PX_LAST,2151.13
318,2016-09-30,SPX Index,PX_LAST,2168.27
319,2016-10-03,SPX Index,PX_LAST,2161.2
320,2016-10-04,SPX Index,PX_LAST,2150.49
321,2016-10-05,SPX Index,PX_LAST,2159.73
322,2016-10-06,SPX Index,PX_LAST,2160.77
323,2016-10-07,SPX Index,PX_LAST,2153.74
324,2016-10-10,SPX Index,PX_LAST,2163.66
325,2016-10-11,SPX Index,PX_LAST,2136.73
326,2016-10-12,SPX Index,PX_LAST,2139.18
327,2016-10-13,SPX Index,PX_LAST,2132.55
328,2016-10-14,SPX Index,PX_LAST,2132.98
329,2016-10-17,SPX Index,PX_LAST,2126.5
330,2016-10-18,SPX Index,PX_LAST,2139.6
331,2016-10-19,SPX Index,PX_LAST,2144.29
332,2016-10-20,SPX Index,PX_LAST,2141.34
333,2016-10-21,SPX Index,PX_LAST,2141.16
334,2016-10-24,SPX Index,PX_LAST,2151.33
335,2016-10-25,SPX Index,PX_LAST,2143.16
336,2016-10-26,SPX Index,PX_LAST,2139.43
337,2016-10-27,SPX Index,PX_LAST,2133.04
338,2016-10-28,SPX Index,PX_LAST,2126.41
339,2016-10-31,SPX Index,PX_LAST,2126.15
340,2016-11-01,SPX Index,PX_LAST,2111.72
341,2016-11-02,SPX Index,PX_LAST,2097.94
342,2016-11-03,SPX Index,PX_LAST,2088.66
343,2016-11-04,SPX Index,PX_LAST,2085.18
344,2016-11-07,SPX Index,PX_LAST,2131.52
345,2016-11-08,SPX Index,PX_LAST,2139.56
346,2016-11-09,SPX Index,PX_LAST,2163.26
347,2016-11-10,SPX Index,PX_LAST,2167.48
348,2016-11-11,SPX Index,PX_LAST,2164.45
349,2016-11-14,SPX Index,PX_LAST,2164.2
350,2016-11-15,SPX Index,PX_LAST,2180.39
351,2016-11-16,SPX Index,PX_LAST,2176.94
352,2016-11-17,SPX Index,PX_LAST,2187.12
353,2016-11-18,SPX Index,PX_LAST,2181.9
354,2016-11-21,SPX Index,PX_LAST,2198.18
355,2016-11-22,SPX Index,PX_LAST,2202.94
356,2016-11-23,SPX Index,PX_LAST,2204.72
357,2016-11-25,SPX Index,PX_LAST,2213.35
358,2016-11-28,SPX Index,PX_LAST,2201.72
359,2016-11-29,SPX Index,PX_LAST,2204.66
360,2016-11-30,SPX Index,PX_LAST,2198.81
361,2016-12-01,SPX Index,PX_LAST,2191.08
362,2016-12-02,SPX Index,PX_LAST,2191.95
363,2016-12-05,SPX Index,PX_LAST,2204.71
364,2016-12-06,SPX Index,PX_LAST,2212.23
365,2016-12-07,SPX Index,PX_LAST,2241.35
366,2016-12-08,SPX Index,PX_LAST,2246.19
367,2016-12-09,SPX Index,PX_LAST,2259.53
368,2016-12-12,SPX Index,PX_LAST,2256.96
369,2016-12-13,SPX Index,PX_LAST,2271.72
370,2016-12-14,SPX Index,PX_LAST,2253.28
371,2016-12-15,SPX Index,PX_LAST,2262.03
372,2016-12-16,SPX Index,PX_LAST,2258.07
373,2016-12-19,SPX Index,PX_LAST,2262.53
374,2016-12-20,SPX Index,PX_LAST,2270.76
375,2016-12-21,SPX Index,PX_LAST,2265.18
376,2016-12-22,SPX Index,PX_LAST,2260.96
377,2016-12-23,SPX Index,PX_LAST,2263.79
378,2016-12-27,SPX Index,PX_LAST,2268.88
379,2016-12-28,SPX Index,PX_LAST,2249.92
380,2016-12-29,SPX Index,PX_LAST,2249.26
381,2016-12-30,SPX Index,PX_LAST,2238.83
382,2017-01-03,SPX Index,PX_LAST,2257.83
383,2017-01-04,SPX Index,PX_LAST,2270.75
384,2017-01-05,SPX Index,PX_LAST,2269.0
385,2017-01-06,SPX Index,PX_LAST,2276.98
386,2017-01-09,SPX Index,PX_LAST,2268.9
387,2017-01-10,SPX Index,PX_LAST,2268.9
388,2017-01-11,SPX Index,PX_LAST,2275.32
389,2017-01-12,SPX Index,PX_LAST,2270.44
390,2017-01-13,SPX Index,PX_LAST,2274.64
391,2017-01-17,SPX Index,PX_LAST,2267.89
392,2017-01-18,SPX Index,PX_LAST,2271.89
393,2017-01-19,SPX Index,PX_LAST,2263.69
394,2017-01-20,SPX Index,PX_LAST,2271.31
395,2017-01-23,SPX Index,PX_LAST,2265.2
396,2017-01-24,SPX Index,PX_LAST,2280.07
397,2017-01-25,SPX Index,PX_LAST,2298.37
398,2017-01-26,SPX Index,PX_LAST,2296.68
399,2017-01-27,SPX Index,PX_LAST,2294.69
400,2017-01-30,SPX Index,PX_LAST,2280.9
401,2017-01-31,SPX Index,PX_LAST,2278.87
402,2017-02-01,SPX Index,PX_LAST,2279.55
403,2017-02-02,SPX Index,PX_LAST,2280.85
404,2017-02-03,SPX Index,PX_LAST,2297.42
405,2017-02-06,SPX Index,PX_LAST,2292.56
406,2017-02-07,SPX Index,PX_LAST,2293.08
407,2017-02-08,SPX Index,PX_LAST,2294.67
408,2017-02-09,SPX Index,PX_LAST,2307.87
409,2017-02-10,SPX Index,PX_LAST,2316.1
410,2017-02-13,SPX Index,PX_LAST,2328.25
411,2017-02-14,SPX Index,PX_LAST,2337.58
412,2017-02-15,SPX Index,PX_LAST,2349.25
413,2017-02-16,SPX Index,PX_LAST,2347.22
414,2017-02-17,SPX Index,PX_LAST,2351.16
415,2017-02-21,SPX Index,PX_LAST,2365.38
416,2017-02-22,SPX Index,PX_LAST,2362.82
417,2017-02-23,SPX Index,PX_LAST,2363.81
